epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,713.273,1.41827,1.97376,1.3064,0.32449,0.42064,0.41233,0.2815,1.5237,2.66574,1.52391,6.139e-05,6.139e-05,6.139e-05
41,731.02,1.45929,2.12693,1.38216,0.347,0.44651,0.42316,0.29012,1.52271,2.63152,1.52149,6.04e-05,6.04e-05,6.04e-05
42,751.896,1.34249,2.04017,1.27987,0.36107,0.4616,0.42325,0.29096,1.52169,2.62748,1.51961,5.941e-05,5.941e-05,5.941e-05
43,770.009,1.38079,2.19573,1.36175,0.37759,0.43301,0.42512,0.28989,1.52478,2.60237,1.51393,5.842e-05,5.842e-05,5.842e-05
44,786.913,1.4212,1.94473,1.33135,0.40893,0.43403,0.43317,0.2946,1.52079,2.57868,1.51312,5.743e-05,5.743e-05,5.743e-05
45,814.039,1.31029,2.1697,1.3271,0.40469,0.43131,0.43615,0.29579,1.52775,2.57462,1.50831,5.644e-05,5.644e-05,5.644e-05
46,845.461,1.38845,2.20023,1.29402,0.41527,0.44488,0.44667,0.30021,1.52228,2.54708,1.50585,5.545e-05,5.545e-05,5.545e-05
47,862.701,1.30986,2.0612,1.28112,0.4392,0.40654,0.44047,0.29369,1.52391,2.54671,1.50544,5.446e-05,5.446e-05,5.446e-05
48,879.108,1.36124,1.9679,1.29395,0.44797,0.39182,0.43745,0.29148,1.52204,2.54538,1.50484,5.347e-05,5.347e-05,5.347e-05
49,901.136,1.38784,1.94361,1.34635,0.46565,0.38553,0.42991,0.28521,1.52558,2.54989,1.50311,5.248e-05,5.248e-05,5.248e-05
50,918.895,1.36472,2.15911,1.35257,0.42112,0.40082,0.42533,0.28351,1.53389,2.56476,1.51089,5.149e-05,5.149e-05,5.149e-05
51,936.828,1.35286,2.06057,1.32351,0.47312,0.38167,0.43267,0.28882,1.53255,2.56455,1.50369,5.05e-05,5.05e-05,5.05e-05
52,955.788,1.32707,2.08643,1.34159,0.46294,0.37966,0.43354,0.29068,1.54259,2.58028,1.50921,4.951e-05,4.951e-05,4.951e-05
53,976.241,1.31419,2.02994,1.26219,0.4729,0.38876,0.44537,0.29941,1.54065,2.59123,1.51068,4.852e-05,4.852e-05,4.852e-05
